Power Plant,Incident,Predicted Labels
South Texas,"Root Causes:
1. Verbal communications between Control Room personnel and Systems Engineering personnel lacked sufficient process rigor to ensure that a common understanding of the problem was achieved.
2. Knowledge issues related to CRE failure modes and suitable compensatory actions to maintain system operability concerns contributed to the communications failure.","['effective safety communication', 'environment for raising concerns']"
South Texas,"The root cause of this event was setting the Amptector long time overcurrent setting at an amperage that did not allow sufficient margin for preventing inadvertent trips under all design voltage conditions.
","['personal accountability', 'work processes']"
South Texas,"Root Cause:
The root cause of this event is that the,station failed to recognize the implications of the multiple material deficiencies and failure of caMponents within the Circulating Water SystemContributing Causes:
1. A:contributing cause is that the impact of using alternate materials for the stiffback was not properly recognized and incorporated into the staking process. In addition, the engineering change document requirement for the screws to be carbon steelmas not incorporated Into the vendor manual. Because the stiffback was galvanized carbon steel, theigalvanized layer chipped when staked making it more difficult to verify that the stiffback side of the stake was adequate. Because the screws were stainless steel vice the carbon steel listed in the' bill bf materials in'the engineering change documents, more force would have been required to obtain a gOOd stake than would be required with carbon steel.
2. A contributing cause is that the staking on the stiffback machine screws was not verified to have been performed in accordance with the vendor manual instructions which required that the countersunk screws be staked, by upsetting the head of the screw into the stiffback plate.","['problem identification and resolution', 'work processes']"
South Texas,"Root Causes:
There are two root causes resulting in failed barriers for this event.
1. The General Electric guidelines were not interpreted correctly by South Texas Project personnel and Nuclear Logistics Inc personnel. This resulted in selection of a GE heater element one size smaller than intended.
2. The setpoint index did not include directions to use an oversized heater element for the PORV actuator motor.","['problem identification and resolution', 'work processes']"
South Texas,"Root Causes for the Partial Loss Of Offsite Power:
1. The first root cause for this event is associated with the malfunction of the C phase of the Shunt Reactor Circuit Switcher that did not close. The open phase set up a current imbalance that caused currents to flow in the neutral of the Shunt Reactor and actuated the time over-current relay trip which in turn tripped the North Bus Circuit Breakers. The Circuit Switcher was inspected and tested to determine the root cause for the Circuit Switcher malfunctioning. No fault could be identified and the Circuit Switcher functioned as designed during repeated testing. Since the exact cause of the Circuit Switcher malfunctioning could not be found, this root cause is indeterminate. There are no known corrective actions relative to this Circuit Switcher that will prevent a future Circuit Switcher induced phase imbalance.
2. The second root cause is the South Texas 345 kV Shunt Reactor protective relaying scheme. The design at the time of this event allowed the Shunt Reactor neutral time over-current protective relay to trip the 345 kV Bus Circuit Breakers. A better design will have the Shunt Reactor neutral time over- current protective relay trip its circuit switcher leaving the 345 kV bus intact.
Complicating the consequences of the subject LOOP was the fact that both Units had ESF trains powered from the Unit 1 Standby Transformer.","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,"
The original design was not fault tolerant for individual power supply failures. The design description states, ""The service inlet and outlet valves are provided with lock-up devices. These valves will remain in the position held at the time of an electric failure? The ""electric failure"" portion of the design statement refers to a loss of 120 Volts AC (VAC) to the entire distribution panel for the Condensate Polishing Control Panels, and not for an individual 24 VDC Power Supply failure. The solenoid that actuates the lock-up devices receives its actuation signal from a relay powered from Power Supply #2. The lock-up devices will not perform their function of holding the CP Service Vessel Inlet and Outlet Valves In place if Power Supply #1 fails. This Is addressed by Corrective Actions 1, 5, 6, and 7.
Failure analysis of Power Supply #1 determined that the voltage regulator card in the power supply failed due to age-related degradation. This is addressed by Corrective Actions 2, 3, and 4.","['problem identification and resolution', 'work processes']"
South Texas,"The root cause is the use of Alloy 600 combined with nozzle manufacturing and installation methods that further increased the susceptibility of the metal to stress corrosion cracking when in contact with primary water.The SMAW process used to construct the J-groove welds is prone to leaving weld defects in service and creating locally high residual stresses. Metallurgical analysis of the Penetration #1 boat sample confirmed the presence of weld defects on the highly stressed interface between the Alloy 600 tube and the connection weld to the pressure vessel. Already located in high stress areas on the OD of the penetration, these weld defects act as stress risers. The sample revealed one small additional crack that connected the lack-of-fusion weld defect to the surface of the weld and primary water. Once the lack-of-fusion void became flooded with primary water, all of the requisite conditions to support stress corrosion cracking existed, as evident from the intergranular cracking around the periphery of the defect. Thus, the penetration leakage at South Texas demonstrated that the Alloy 600 BMI nozzles are susceptible to PWSCC and will crack under the right conditions.","['problem identification and resolution', 'questioning attitude', 'work processes']"
South Texas,"The cause of the failure was determined to be increased mechanical resistance of the breaker mechanism caused by a random build up of tolerances from wear and case distortion which our existing overhaul program did not identify, coupled with a significant reduction in latch spring rotational torque capability (6 turn spring).
In working with ABB on the root cause investigation, several differences were found between the STP 5HK and the ABB overhaul program. The most significant difference is the level of detailed inspection of individual parts of the mechanism following disassembly. The STP program relies on refurbishment using a standard overhaul parts kit. Other parts are inspected and replaced only when obvious damage is found. The ABB program inspects all parts to a very high level of detail.","['problem identification and resolution', 'work processes']"
South Texas,"1. Failure of the Westinghouse Owner's Group (WOG) to identify all limiting scenarios in the WOG Guidelines for Natural Circulation Cool down. Specifically, the WOG Guidelines addressed upper head cooling and did not fully address loop stagnation.
2. Failure to re-analyze the natural circulation cool down cases when a change was made increase the cool down rate to 50°F/hr.","['problem identification and resolution', 'work processes']"
South Texas,The root cause of this event was a Manufacturing Fabrication Deficiency involving the breaker bucket in cubicle MCC El B1/A3 that was provided Nuclear Logistics (NLI). A test conducted by NLI concluded that the 3/8-inch piece of wiring insulation most likely entered the contactor during the breaker assembly prior to its arrival at STP.,"['problem identification and resolution', 'work processes']"
South Texas,"A. Technical Root Cause: The design of the Class 1E Vital Instrument Power Supply (VA) System is not single train fault-tolerant and failure of the inverter causes significant operational challenges.
B. Organizational Root Cause: The Station has not aggressively pursued effective failure prevention strategies even though previous events have shown that the inverters are susceptible to failure and the Instrument Power Supply (VA) System is not fault tolerant.
C. Contributing Cause: Operations actions to mitigate the consequences of the failed inverter were inadequate.","['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
South Texas,"he Root Cause of the degraded condition of the CRE in both Units was:
The station exhibited an inadequate, compliance-based approach to identifying and resolving CRE system health concerns.
Prior to the advent of Component Testing, the station had based its conclusions regarding the health of the CRE primarily on its ability to pass its differential pressure surveillance tests and by evidence of positive pressure across doors to adjacent areas, as indicated by smoke tests. Test results that were in some cases only marginally acceptable were not viewed with concern primarily because, despite the identified condition, the CRE continued to meet its safety function. Component Testing, first implemented in Unit 2 in early 2003 and including significantly more test points, provided the station with its first comprehensive picture of overall system condition. Unit 2 test results revealed test points at or below the acceptance criteria. Subsequent testing in Unit 1 in June 2003 resulted in all points passing (though marginally in some cases). The station placed low priority on resolving these conditions, and did not formally investigate their technical causes until after the station recognized that Component Test failures were equivalent to surveillance point failures and affected operability. In contrast, the station had aggressively resolved failures of test points formally included in the surveillance test. A more appropriate station response to these system health issues would have, at a minimum, resulted in timely restoration of failed points.","['continuous learning', 'problem identification and resolution']"
South Texas,"The cause of the Train B high head safety injection pump flushing line isolation valve being out of position is indeterminate.
The most likely cause of this valve being out of position is someone using the valve handle as an aid in exiting the ladder located next to it. This ladder goes down approximately 7 feet to the sump level below. The ladder is seldom used.","['personal accountability', 'problem identification and resolution', 'work processes']"
South Texas,"The cause of the event was severe weather that included a tornado warning issued for the South Texas Project.
",['environment for raising concerns']
South Texas,The root cause of this event is inadequate communication to those Senior Reactor Operator's responsible for the configuration management (Control Room) and work implementation processes of this condition where AFW Pump breaker maintenance affects Diesel Generator operability.,"['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
South Texas,The root cause is insufficient barriers in place to ensure the SBDG is operable prior to returning it to service. The five-year diesel preventive maintenance procedure did not require verification to ensure the linkage as-left values are correct. The work package did not specify a 110% load test run following fuel linkage adjustment.,"['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,The event being reported is a condition prohibited by TS in that Unit 1 entered TS 3.0.3 due to simultaneous Train A and Train C essential chiller inoperability for longer than one hour. The cause of each train failure was stated in Section II.B above.,"['problem identification and resolution', 'work processes']"
South Texas,"The cause of the event was an incorrect instantaneous magnetic breaker setting. This incorrect setting was established as part of the Class 1 E MCC Upgrade Modification, which was implemented during the spring (March 4-May 20) of 2000 during Refueling Outage 1RE09.
It was not recognized at the time the design change was prepared that the magnetic setting criterion was incorrect and should have been revised. The incorrect breaker setting data was also contained in the STP Electrical Setpoint Index. The incorrect design criteria was corrected as part of the corrective actions for a 2002 Condition Report. Additionally, corrective actions associated with a 2000 Condition Report revised several sections of the Electrical Setpoint Index to reflect the correct breaker setting criteria. However, some guidance in the STP Electrical Setpoint Index still reflects the incorrect magnetic breaker setting criteria and will be revised.
A contributing cause is the fact that the Electrical Setpoint Index in some instances provides more than one value for the breaker magnetic setting with direction to set the breaker to the minimum value and increase if required due to spurious trips. This practice masks events where the breaker is adjusted in accordance with the setpoint index because these adjustments are not reviewed by engineering and the work order closure process does not review-for these types of changes. The Setpoint Index will be revised to specify a single magnetic breaker setting for safety related SSCs.
","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,"
The event being reported is a condition prohibited by TS in that three MSSVs tested outside the allowable setpoint tolerance. The cause of the failure was stated in Section II.B above.","['problem identification and resolution', 'work processes']"
South Texas,"
The cause of the missed TS Action requirements was inconsistent adherence to procedural requirements regarding the logging and tracking of TS requirements. Past experience with NI calibrations led to the belief that NI-43 would be restored to Operable status in sufficient time to preclude the need for performance of a QPTR using either the Movable Incore Detector System or BEACON power distribution monitoring system per TS Surveillance Requirement 4.2.4.2. This resulted in a lack of attentiveness to ensure Technical Specification surveillance requirements were understood and performed when required, indicating that a conservative bias was not maintained to ensure Technical Specification compliance.","['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,"
The electrical transient that initiated the event was caused by the failure of the C805 capacitor.",['problem identification and resolution']
South Texas,"Two factors were identified as being root causes because they both contributed to the event: 1. Inadequate maintenance instructions; and2. The design of the trip and throttle valve linkage leaves no margin for variability.
","['problem identification and resolution', 'work processes']"
South Texas,"The low cycle fatigue failure of the lug is due to physical configuration of the associated wiring bundle between the cubicle and door (lack of support bracket).
","['problem identification and resolution', 'work processes']"
South Texas,"The Extended Range Nuclear Instrumentation vendor (Gamma Metrics) made a change to the A2 and A4 circuit boards that removed the slot interchangeability design without notification to STPNOC. This resulted in lack of review by STPNOC which would have identified this change and properly documented and annotated the changes within STP process and programs.
• I&C personnel made the decision to use the A2 board instead of the A4 board based on outdated information from Training material, which indicated the parts were interchangeable, and the use of the stock code number for the A2 board when no stock code number for the A4 board could be found in the Master Parts List. The training material is not a controlled document. The stock code field that was used in the Master Parts List to assist in making this decision is a reference field only. The correct database information that should have been referred to was the manufacturer's part number, which is a controlled field, and was unique for each board.","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,The root cause of the low oil temperature condition on Essential Chiller 12B was the lack of an oil heater thermostat calibration procedure that was specific to the Essential Chillers.,"['problem identification and resolution', 'work processes']"
South Texas,"• The non-standard scaffolding and decking installation process did not require input from Engineering or Operations to identify and document limitations, restrictions, requirements, or considerations near or around equipment important to plant operations. Additionally, no input was required by these departments to periodically verify that previously approved non-standard scaffold and/or decking sketches are still valid.
• The procedure for erection and use of temporary scaffolding did not contain requirements or attributes with the depth and rigor needed for non-standard scaffold and/or decking installation in areas containing plant equipment important to plant operation. Such work warrants written guidance to ensure adequate job quality and work control.
• The pre-job brief was not required to address application of scaffold installation limitations and restrictions consistent with functional requirements of adjacent equipment.
• The scaffold permit process lacked guidance when addressing special applications such as decks and platforms. The guidance should include restrictions on use while at power, limitations for adjacent equipment operation, and cautions for various plant operational modes.
The root cause of the event was an inadequate procedure for scaffold installation. As exhibited below, the procedure did not ensure an adequate review of the impact of the scaffold installation on the operation of the plant.","['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
South Texas,"
The cause of this event was insufficient removal and dispersion of corrosion products originating from the normal fabrication and passivation process for the new CRDM latch assemblies associated with the Unit 1 Replacement Reactor Vessel Head. Analysis results indicate that the passivation process has not yet reached equilibrium and that the control rod drive mechanisms will be susceptible to corrosion product effects for an additional period of time.","['problem identification and resolution', 'work processes']"
South Texas,"Root Cause No. 1 (Organizational)
Procedure place keeping standards for the site were less than adequate. Personnel performing surveillance test procedure OPSP03-SP-0006R inadvertently turned forward in the procedure two pages instead of one page as they had intended. In doing so, a critical test step that would have blocked a Turbine Trip signal was missed. The missed page went undetected because the site place keeping standard did not clearly define how to place keep procedure pages. Before this event, the site believed the standard for place keeping was adequate based on past successes. The vulnerability of the site to an event caused by missing a procedure page was not recognized until this event occurred.
Root Cause No. 2 (Organizational)
Supervisory Oversight of surveillance test procedure OPSP03-SP-0006R became ineffective when the SRO stepped outside of his oversight role and became involved in the process. The SRO was clearly outside of his oversight role when he was performing DV and operating equipment. Once outside of the oversight role, the SRO was no longer able to detect the error made by the test performer. The SRO performing DV and other actions to facilitate the performance of surveillance tests when more that one operator is needed has been a long standing practice. Without proper SRO Oversight, deviation from station standards such as inconsistencies with procedure place keeping went undetected and uncorrected until a human performance event occurred.","['leadership safety values and actions', 'problem identification and resolution']"
South Texas,"The direct cause was attributed to a wiring error during maintenance on 345kV switchyard circuit breaker Y530 performed by a contractor employed by the Transmission & Distribution Service Provider (TDSP).
The root cause of the event was insufficient management oversight and reinforcement of expectations and standards for managing switchyard activities.","['leadership safety values and actions', 'personal accountability']"
South Texas,"In 1997, STP procedures were revised to allow using water from the RHT to refill the RCS loops in addition to using the Refueling Water Storage Tank (RWST) or the Boric Acid Tanks (BATs). Prior to this, only the RWST or BATs were used for RCS refill. This change allowed clean, hydrazine-treated, borated water from the RHT to be used as a water source to refill the RCS during a refueling outage. In 2003, Technical Specifications 3.4.1.4.2 and 3.9.1 were revised to remove references to specific valves that were required to be secured to protect against dilution and replaced with the more generic language discussed in Section I.D above. However, the potential consequences of using the RHT as a fill source was not adequately addressed with respect to compliance with the revised TS requirements, and thus the surveillance procedure used to ensure compliance did not address all potential unborated water sources.","['decision making', 'work processes']"
South Texas,"he root cause of this event was the lack of timely and dependable testing to identify a failure prior to exceeding the Limiting Condition for Operation (LCO).
This investigation identified that the monthly channel check test method provided in the Remote Shutdown Monitoring and Accident Monitoring Instrumentation Channel Checks procedure, OPSP03-SP-0001, is not a reliable method to determine operability of the low range channels due to their unreliable indication when at power. With the required monthly frequency, exceeding the 7 day LCO is possible. A more reliable method would be by using the presently designed built in test pushbuttons. Performing a periodic test to use pushbuttons S1 and S2 to test Integrated Computer System (ICS) point NI0045A would have identified the fault with the degrading AT1 much earlier and would have prevented this event from being reportable.
","['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,"
The cause of the event was a failure of the Delta Flux summing amplifier card within the OPDT circuit which caused the Delta Temperature / T-Average channel to become inoperable. The failure was determined to be a random electronic component failure. The cause for exceeding the Technical Specification allowable outage time was that the channel check allowance value was excessive for checking channel functionality.","['problem identification and resolution', 'work processes']"
South Texas,"The cause of this event was that procedures were not implemented properly during the performance of maintenance activities on December 14, 2012. Contributing to the event was that insufficient certified personnel were available so that supervision was taken out of a normal supervisory oversight role and became involved in directing the work.
During troubleshooting and repairs on December 14, 2012, the data from a memory chip was downloaded and copied onto the replacement chip. The verification step for the data download to ensure the new memory chip contained the correct data was incorrectly performed so that the transfer of the high limit hysteresis bad data set point had not been noted. Contributing to this were unclear requirements. Verification was required at four different locations in the procedure and was performed by four different individuals. Only one of the three steps required dual verification. Several steps in the procedure contained multiple actions.","['personal accountability', 'problem identification and resolution', 'work processes']"
South Texas,"The cause of this condition is the original design of the DC circuits did not adequately address fire protection program requirements. The event would have been prevented if the original design included overcurrent protection for the non-Class 1E, non-safe shutdown DC circuits.
","['problem identification and resolution', 'work processes']"
South Texas,"Prior to and following the manual trip of the Main Turbine, the Group 1 Steam Dumps did not respond as expected for the load shed, resulting in a Main Feedwater Isolation due to rising SG level. Operators then initiated a manual reactor trip due to lowering SG levels and the AFW system actuated automatically on a SG low level signal. There were no human performance errors that contributed to the event.","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,"Prior to the manual reactor trip, SG C Feedwater Regulating Valve closed resulting in lowering water level in SG C due to the random failure of the Manual 7300 Series Tracking Driver circuit card. The Manual NTD card failure forced the Feedwater Regulating Valve closed and prevented further operation of the valve. Operators initiated a manual reactor trip due to lowering SG level and the AFW system actuated automatically on a SG low level signal. There were no human performance errors that contributed to the event.
","['decision making', 'personal accountability', 'problem identification and resolution', 'work processes']"
South Texas,"
The event was caused by a loose piece of the degraded rubber boot that intermittently contacted the Main Generator bushing causing a resistance path to ground and forming an electrical path between the bus and ground. This caused the Main Generator lockout relay to actuate which resulted in an automatic trip of the Unit 1 turbine which led to an automatic reactor trip. The AFW system actuated automatically on low SG level following a Feedwater isolation due to low average reactor temperature.","['problem identification and resolution', 'questioning attitude', 'work processes']"
South Texas,"Based on the conditions identified and using information collected during discussions with the relay manufacturer subject matter expert, the cause of the component failure is not known. The relay was retained following the event, and inspected with satisfactory results. The failure could not be recreated, and the failure mode and mechanism is not known.
The causes for the event were the following:
1. Unidentified Material Condition with the failed component (i.e. relay)
2. Less than adequate questioning attitude by Electrical Maintenance Personnel
3. Less than adequate questioning attitude by Operations Personnel
The start of this event consisted of the undervoltage relay as-found operating time being outside the Technical Specification required value. After retesting, the surveillance test timing improved as observed in subsequent retests. The failed condition could not be recreated upon further testing.
The Electrical Maintenance Supervisor did not exhibit sufficient questioning attitude when consulted on this task. The relay did not exhibit the reliability to perform within limits through the next surveillance interval, and this was not recognized. Though the electricians did request clarification from the supervisor as expected, a proper questioning attitude from the supervisor would have determined that further expertise was needed to proceed. In addition, a misinterpretation of the procedure allowed the actions as performed, but the procedure intent was not maintained.
In addition, the Control Room staff displayed an inadequate questioning attitude regarding the adverse performance of the relay. When the information was shared with the Control Room that no adjustment was made to the timing relay, both individuals should have confirmed adequate information was collected to ensure that it was appropriate to proceed with closing out the surveillance rather than simply agreeing with the results of the completed test.","['effective safety communication', 'personal accountability', 'problem identification and resolution', 'questioning attitude']"
South Texas,"The cause of the event is the applicable maintenance work instructions did not include steps to: (1) ensure that the circuit board jumper is in the correct position, and (2) conduct a post-maintenance test to ensure proper operation of the heaters.","['problem identification and resolution', 'work processes']"
South Texas,"
The cause of the event was an inadvertent deletion of a critical head correction equation in the MSSV Inservice test procedure in 2012. The formula adjusted the steam line pressure input to account for the difference in elevation between the main steam line and the pressure gauge. The Test Coordinator is an STP engineer who oversees contractors performing the actual testing of the MSSVs. The Test Coordinator who performed these tests was not aware of the need to include the correction factor. However, the previous Test Coordinator had performed this test for a number of years and was aware of the required adjustment.","['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,The cause was determined to be less than adequate procedure guidance. Maintenance procedures did not provide sufficient warning or guidance to address packing tolerances to ensure leak-off upon start-up or actions to take for a less than adequate packing leak-off.,"['problem identification and resolution', 'work processes']"
South Texas,"The Apparent Cause of the condition prohibited by technical specifications was determined to be:
1. Operations did not recognize that Unit 1 had lost a safety function with both valves INOPERABLE. The cause of the loss of safety function was determined to be:
1. A fuse in the control unit of the required valve failed resulting in a loss of safety function.
","['problem identification and resolution', 'work processes']"
South Texas,"The root cause for this event was determined to be:
TDSP personnel had less than adequate work practices during the performance of transmission line relay testing for Jones Creek Circuit 18 (Y500/Y510).
The contributing cause for this event was determined to be:
STP had less than adequate oversight of switchyard field activities when work was in progress.
V. Corrective actions","['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
South Texas,"The root cause for this event was determined to be:
Station personnel implemented a freezing weather plan that was fragmented and lacked engagement, sufficient direction, verification of readiness, and designated ownership to ensure the station was prepared for Winter Storm Uri.
The contributing causes for this event was determined to be:
1. In 1988, heat trace and insulation were not installed as designed per Modification.
2. Opportunities to improve the station's cold weather program were either not identified or not fully implemented.
3. In some cases, station personnel did not implement procedure guidance as written; therefore, barriers that would have reduced the likelihood of the event were ineffective.","['effective safety communication', 'leadership safety values and actions', 'problem identification and resolution', 'work processes']"
South Texas,"The causal evaluation for this event determined that there were two root causes.
The first root cause determined that the procedure for pressurizer PORV maintenance lacked the specific guidance to: (1) verify that the opening orifice was not installed and (2) measure and validate the clearance between the valve plug and valve cage to ensure the pressurizer PORV was assembled to the vendor manual specifications.
The second root cause determined there was inadequate implementation of the previous design change package (97-2766-6) that allowed the purchase of a replacement SOV with an opening orifice for the pressurizer PORVs that resulted in a loss of configuration management for an ASME Class 1 component when it was installed.","['problem identification and resolution', 'work processes']"
South Texas,"The event was caused by a modification that introduced reduced operating margin into the AMSAC design. The modification reduced the arming setpoint for turbine impulse pressure from 40% to 30%, and in doing
so created a corresponding reduction in the operating margin. Consequently, a system intended to provide protection against abnormal deviations of reactor power and feedwater flow actuated under plant conditions that were normal for power ascension.",['decision making']
South Texas,"The root cause for this event is that management expectations for pre job preparation on tasks that are perceived as low risk are not well defined and have not been adequately reinforced to ensure consistent, successful task performance. This resulted in a condition where the workers were not adequately prepared to perform a task that adversely affected unit operation.","['leadership safety values and actions', 'work processes']"
South Texas,"The cause of this event was due to failure to meet management expectations associated with work practices. The Shift and Unit Supervisors are ultimately responsible for maintaining the unit in compliance with Technical Specifications. In this event, neither the Shift nor the Unit Supervisor verified the equipment clearance order to ensure Technical Specification compliance due to overconfidence in the Work Start Authority's capability. The fact that the valve was already tagged to comply with Technical Specifications caused the Shift and Unit Supervisors to perceive this activity to be a low-risk evolution. In addition, the Shift and Unit Supervisors are responsible for ensuring the use of peer checks for Technical Specification compliance and no peer check for Equipment Clearance Order 9071 were performed. The Work Start Authority is a Senior Reactor Operator, knowledgeable of Technical Specification compliance requirements, responsible for the proper review and authorization of equipment clearance orders. The Equipment Clearance Writer is responsible for adequate preparation of equipment clearance orders to ensure proper protection of plant personnel and equipment.","['leadership safety values and actions', 'personal accountability', 'work processes']"
South Texas,"
The root cause for this event was less than adequate work instructions in the work order used to change out the current transformers in 1992. When the current transformer was replaced in the circuit breaker, the nameplate on the circuit breaker was not updated to reflect the correct information.
","['problem identification and resolution', 'work processes']"
South Texas,"Th�e root causes identified for this event are:
■ The Unit Supervisor used inappropriate communication techniques that contributed to an incorrect breaker manipulation.
■ The Unit Supervisor focused on transformer current indications, compromising his ability to provide effective oversight of the evolution. Consequently, the operator's failures to operate the synchronizing interlock switch and verify the resulting annunciator alarm were not identified or corrected.
■ The Reactor Operator did not: stop, alert others, or otherwise seek assistance upon encountering abnormal indications; verify the alarm received; or seek clarification of the Unit Supervisor's unclear verbal communications
2.� prior to acting.
Operation of synchronizing interlock switches were not included in plant procedures (OPOP02-AE-0002) since their operation was considered ""skill of the craft"". The omission of synchronizing interlock switches and lack of requirements to include them on 'Transferring 13.8 kV Bus Power Supply Checklist"" made OPOP02-AE-0002 less than optimum for the less practiced user.","['decision making', 'effective safety communication', 'personal accountability']"
South Texas,"
The linkage mechanism that operates the breaker Y600 C phase pole failed due to a linkage connection pin falling out of the linkage. Inspection revealed that a bushing that is required between the linkage pin and the operating linkage was not installed. The bushing was most likely left out during fabrication. The lack of a bushing creates increased friction and tolerances leading to accelerated wear of the components.","['problem identification and resolution', 'work processes']"
South Texas,"The majority of the defective tubes detected in 2RE08 were the result of ODSCC at tube-to-tube support plate intersections. This tube degradation mechanism is well known to the industry (as documented in the EPRI Steam Generator Reference Book, Chapter 12) for plants employing drilled-hole tube support plates and Alloy 600 mill annealed tubes, and has been addressed in NRC Generic Letter 95-05. It is the result of tube susceptibility to stress corrosion cracking in the tube support plate crevice environment as confirmed by tube pulls at South Texas Units 1 and 2 as well as at other plants, and by the UT results from this inspection. This stress corrosion cracking has been demonstrated to be a temperature-related corrosion process such that the higher the hot leg temperature, the more rapid the corrosion progression. The 2RE08 inspection results are","['continuous learning', 'problem identification and resolution', 'questioning attitude', 'work processes']"
