Power Plant,Sentence/Paragraph,Predicted Labels,True Labels
Diablo Canyon,"The shift foreman did not review the TS prior to directing the operators to
close the accumulator isolation valve breakers. He believed that TS
3.5.1a required only that the valves be open and did not recognize that the accumulators would be considered inoperable with the breakers
closed.","['continuous learning', 'effective safety communication', 'personal accountability', 'work processes']","['continuous learning', 'effective safety communication', 'personal accountability', 'work processes']"
Diablo Canyon,"The root cause of this event was determined to be a human error on the
part of the procedure sponsor who revised OP L-1 on February 19, 1999.
The procedure was revised to incorporate an enhancement to make use
of computerized logging of RCS temperature, pressure, and heatup rate.
While understanding that the purpose of the logging was to meet the
requirements of the surveillance, the sponsor overlooked the fact that
manual logging of the data was credited as a review of that data, whereas
automatic data collection requires review before the intent of the
surveillance requirement can be met.","['continuous learning', 'problem identification and resolution', 'work processes']","['continuous learning', 'personal accountability', 'work processes']"
Diablo Canyon,"Personnel error (cognitive) by a utility licensed operator who determined
that the two tests could be performed simultaneously. Additional PG&E
personnel responsible for scheduling and performing the test failed to
identify the interaction of the two tests being performed concurrently.","['continuous learning', 'personal accountability', 'work processes']","['continuous learning', 'decision making', 'personal accountability', 'questioning attitude']"
Diablo Canyon,"Investigations showed butterfly valves CCW-1-15 and CCW-1-17 would
not close properly due to misadjusted travel stops. When the valves were
initially closed for the test, the discs were over rotated past the seats by
approximately 2 degrees before the travel stops engaged.","['problem identification and resolution', 'questioning attitude', 'work processes']","['continuous learning', 'work processes']"
Diablo Canyon,"The majority of the tube defects are attributed to primary water stress
corrosion cracking (PWSCC) and outside diameter stress corrosion
cracking (ODSCC) at hot leg TSP intersections. The majority of the tube defects are attributed to primary water stress
corrosion cracking (PWSCC) and outside diameter stress corrosion
cracking (ODSCC) at hot leg TSP intersections.","['problem identification and resolution', 'work processes']","['environment for raising concerns', 'problem identification and resolution']"
South Texas,"The cause of the event was due to arch flash across a TDSP owned insulator which resulted in a phase-
to-ground fault and subsequent bus lock out. There were no previous indications of issues with the insulator.","['problem identification and resolution', 'work processes']",['problem identification and resolution']
South Texas,The most-likely cause of the event was due to a sticking hand switch or due to a high resistance contact in the switch. The failed switch was not retained for more detailed failure analysis.,"['problem identification and resolution', 'questioning attitude']",['problem identification and resolution']
South Texas,"The causes for this event were determined to be:
1. Vendor Technical Document work instructions do not work as written when leaving the actuator installed during actuator disassembly.
2. Post-Maintenance Testing did not include guidance to ensure valve plug was fully seated.
3. The valve remote position indicator verification test procedure assumes the local valve position indication reflects the actual (internal) valve position.","['problem identification and resolution', 'work processes']","['effective safety communication', 'work processes']"
South Texas,"The two apparent causes identified for this event were determined to be:
1. Program implementation deficiencies in Work Planning organization and in support by cross-functional
organizations for high risk components.
2. Inadequate verification and validation of ESF Sequencer module replacement parts by Maintenance and
Work Planning personnel.","['problem identification and resolution', 'work processes']","['effective safety communication', 'leadership safety values and actions', 'work processes']"
South Texas,"The root cause of the event was personnel error related. Individuals involved in the technical review and approval of the ECO
failed to recognize at-risk behaviors and apply appropriate Human Performance (HU) tools. At-risk behaviors not considered
include:
Making assumptions - The Issuing Authority stopped when the individual saw ""Swap Tag"" in a note field on a line item of the
ECO revision and did not perform a detailed review of the remaining ECO line items. As a result, the Issuing Authority made a
wrong assumption that an inside containment isolation valve would remain closed.
Believing the source of information is absolutely reliable - The Technical Reviewer (new to this assignment) assumed that
ECOs would be technically sound and that the technical review would be more of a higher-level review.
Thinking the task is routine or simple - Both the Technical Reviewer and Approver of the ECO stated they viewed the ECO as
routine or simple.
Appropriate error reduction tools not used by both individuals include Questioning Attitude and Peer Review/Collaboration.","['continuous learning', 'personal accountability', 'questioning attitude']","['continuous learning', 'personal accountability', 'questioning attitude', 'work processes']"
South Texas,"The cause of this event is that the operating crew did not have adequate technical knowledge of extended range
monitor response following a fast reactor shutdown. A contributing cause is that when faced with the situation with extended range monitor NI-0045 reading 10 cps and extended range monitor NI-0046 reading 90,000 cps, the Control Room did not initially seek input from Engineering regarding proper monitor response. Instead, the decision was made to declare NI-0045 inoperable based on the belief that 10 cps was an abnormal reading when compared to the source range monitor counts.
The most likely cause for the sluggish response of extended range monitor NI-0046 was the development of moisture
within the cabling inside the Reactor Containment Building (RCB) between the detector and the RCB inboard
penetration due to a leak in its environmental enclosure.","['continuous learning', 'effective safety communication', 'problem identification and resolution', 'questioning attitude']","['continuous learning', 'effective safety communication', 'leadership safety values and actions', 'problem identification and resolution']"
South Texas,"On March 4, 2015, AFW pump 24 was not recognized as inoperable due to human error. The two Control Room operators involved used ineffective verification practices of surveillance acceptance criteria. There were no other extenuating circumstances (e.g., time or situational pressures) surrounding the failure to recognize that the acceptance criteria was not met.","['continuous learning', 'personal accountability', 'questioning attitude']","['continuous learning', 'personal accountability', 'questioning attitude', 'work processes']"
South Texas,The cause of the event is erosion of the aluminum-bronze nipple and tee assembly that led to a through-wall ECW leak.,"['problem identification and resolution', 'work processes']",['work processes']
South Texas,"The cause of the event was unspecific guidance in the off normal procedure for secondary plant stabilization. The urgency in this event was not from a design basis accident but from a need to protect major plant equipment. The failure of the bearing oil lift piping placed the Control Room Staff in a situation that required prompt action to prevent equipment damage, and the Staff made a decision to use the MSI Actuation switch as a result of the unspecific written guidance to ensure MSIVs and Main Steam Isolation Bypass valves (MSIBs) are closed.","['effective safety communication', 'leadership safety values and actions', 'work processes']","['effective safety communication', 'leadership safety values and actions', 'work processes']"
South Texas,The cause of the event was failure of the ECW Pump 2B motor lower bearing due to an insufficient motor endplay allowance value used for motor refurbishment.,"['problem identification and resolution', 'work processes']",['work processes']
South Texas,"The cause of this event was the use of ineffective problem solving to resolve the alarmed condition and the lack of control board indications or the annunciator response procedure identifying this failure as a one-hour Technical Specification action. Corrective actions include replacing and calibrating the failed card, revising the annunciator procedure and reinforcing station expectations for effective problem solving.","['continuous learning', 'leadership safety values and actions', 'problem identification and resolution']","['decision making', 'leadership safety values and actions', 'problem identification and resolution']"
South Texas,"On February 14, 1995, Technical Specifications 3.8.2.2 and 3.8.3.2 were amended. The new Technical Specifications did not provide a listing of specific equipment required to be OPERABLE in Modes 5 and 6 for support equipment, as was in the previous Technical Specifications. No additional administrative instructions or controls were put in place to ensure proper implementation.","['effective safety communication', 'leadership safety values and actions', 'work processes']","['effective safety communication', 'leadership safety values and actions', 'work processes']"
South Texas,"The root cause for this event is workers' lack of attention to detail while reviewing the acceptance criteria. Corrective actions include reviewing the event with Electrical Maintenance personnel, and addressing personal accountability issues with the Maintenance personnel involved in accordance with site policies.","['personal accountability', 'problem identification and resolution']","['personal accountability', 'problem identification and resolution']"
South Texas,"It was incorrectly understood that the components powered from Load Center E1B would remain operable with Load Center E1B inoperable but functional and energized. The philosophy that the functional, but inoperable, Load Center El B could supply the operable B Train systems led to the temporary modification installation being scheduled and implemented during the core off-load window.","['decision making', 'leadership safety values and actions', 'work processes']","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,The root cause of this event was the lack of questioning attitude by the Reactor Operator and the Unit Supervisor to validate qualification concerns. A contributing cause was an informal process was used to distribute the active license list to the control rooms.,"['effective safety communication', 'questioning attitude', 'work processes']","['effective safety communication', 'questioning attitude', 'work processes']"
South Texas,"The root cause of this event was concurrent failure of the level control system due to debris induced mechanical binding of the upper float assembly and failure of the float check valve. Corrective actions include restoring Essential Chiller 12C to operable status, replacing defective parts in Chiller 12A, and developing and scheduling Preventive Maintenance activities for each of the 300-ton chillers.","['problem identification and resolution', 'work processes']","['problem identification and resolution', 'work processes']"
South Texas,"of the main turbine governor valves shutting was a failure a logic card in the analog electro-hydraulic controller. The cause of the pressurizer spray valves anomaly was a calibration shift of the spray valve UP converters. Corrective actions included replacement of the gate logic card, calibration of spray valve I/P converters, and planned replacement of the pressurizer spray valve I/P converters with an improved model.","['problem identification and resolution', 'work processes']",['problem identification and resolution']
South Texas,"The root cause of the pump damage was determined to be foreign material, which caused insufficient cooling/lubricating flow by obstructing the bearing flow orifices.","['problem identification and resolution', 'work processes']",['problem identification and resolution']
South Texas,The root cause of the valves failing the as found lift test is the inherent differences between the valve as left test conditions and as found test conditions and nozzle loading effects which are inducing stresses and misalignments in the valves.,"['problem identification and resolution', 'questioning attitude', 'work processes']","['problem identification and resolution', 'questioning attitude']"
South Texas,Verbal communications between Control Room personnel and Systems Engineering personnel lacked sufficient process rigor to ensure that a common understanding of the problem was achieved. Knowledge issues related to CRE failure modes and suitable compensatory actions to maintain system operability concerns contributed to the communications failure.,"['continuous learning', 'effective safety communication', 'environment for raising concerns']","['continuous learning', 'effective safety communication', 'environment for raising concerns']"
Davis-Besse,"It is possible that the personnel reviewing the oil system did not realize that there was pressurized
piping in this area. It is also possible that personnel felt that the probability of a leak or break at the lift oil pump pressure switches was very low since they did not provide discussion in their 10CFR50, Appendix R review that the lift oil system is normally only pressurized for approximately three minutes during startup.","['problem identification and resolution', 'questioning attitude', 'work processes']","['environment for raising concerns', 'personal accountability', 'questioning attitude']"
Davis-Besse,The cause of this event was determined to be inadequate procedural guidance during cooldown. Required reading was provided to operators concerning the evaluation of the event. The procedure for cooling down the reactor coolant system and the pressurizer was modified to provide the necessary information.,"['decision making', 'effective safety communication', 'leadership safety values and actions', 'work processes']","['decision making', 'effective safety communication', 'leadership safety values and actions', 'work processes']"
Davis-Besse,"The apparent cause of this event is that previous reviews of the switchyard
configuration and fault relaying did not address that opening these breakers could result in only one qualified circuit remaining operable. This condition would not have prevented safe shutdown of the plant because onsite power sources were unaffected by this condition.","['decision making', 'problem identification and resolution', 'work processes']","['decision making', 'personal accountability', 'problem identification and resolution']"
Davis-Besse,"The apparent cause of occurrence is misapplication of the check valves due to the original design being inadequate. Due to the as found condition of the valves, it was concluded that the steam line break pressure switches were inoperable and potentially incapable of detecting a steam line break. This condition existed for a time period longer than allowed by the required Action for Technical Specification (TS) 3.7.1.2 and is reportable as operation prohibited by the plant's TSs in accordance with 10CFR50.73(a)(2)(1)(B).","['problem identification and resolution', 'questioning attitude', 'work processes']","['personal accountability', 'questioning attitude']"
Davis-Besse,"The electrician checking the status of the lockout relays mistakenly checked the relays on the wrong side of the electrical panel, which were for the main generator instead of Startup Transformer 02. While checking the status of the relays, a main generator protection relay was actuated, which locked out the only available offsite AC power source, resulting in the loss of offsite power.","['decision making', 'personal accountability', 'work processes']","['decision making', 'personal accountability', 'work processes']"
Davis-Besse,"Because the valve was out of position for one week, exceeding the 72 hour Action requirement of Technical Specification 3.7.1.2, the plant was in violation of the Technical Specification.","['decision making', 'problem identification and resolution', 'work processes']","['environment for raising concerns', 'problem identification and resolution', 'work processes']"
Davis-Besse,"The apparent cause of MSSV SP17B4 to have a setpoint greater than the allowable setpoint is test methodology inaccuracies during previous tests. This valve did not show signs of sticking and responded to adjustments in a predictable fashion. On-site testing conducted prior to 2002 was performed utilizing Hydroset test equipment. This equipment has inherent inaccuracies because it requires test personnel to determine when a safety valve begins to lift by audibly detecting steam flow through the valve, and to calculate the lifting force using the hydraulic pressure read from a pressure gauge in conjunction with measured steam pressure.","['problem identification and resolution', 'questioning attitude', 'work processes']","['questioning attitude', 'work processes']"
Davis-Besse,"With the doors open and no designated individual immediately available outside the personnel air lock, the Limiting Conditions for Operation for TS 3.9.4 and TS 3.9.12 were no longer satisfied. The Action Requirement for TS 3.9.4 was met because core alterations in Containment had been suspended.",['decision making'],['decision making']
Davis-Besse,the pressure regulating valve setpoint for the Reactor Coolant Pump (RCP) Seal Injection Valves (MU66A-D) was inadequate to ensure closure of the valves upon receipt of a containment isolation signal. The causes of these conditions are less than adequate design interface communication and design control. ,"['problem identification and resolution', 'questioning attitude', 'work processes']","['questioning attitude', 'work processes']"
Davis-Besse,"On September 4, 2002, with the reactor defueled, investigations determined that a gap in the sump screen larger than allowed by design basis (greater than 1/4-inch openings) existed. Also, the existing amount of unqualified coatings and other debris inside containment could have potentially blocked the emergency sump intake screen, rendering the sump inoperable, following a loss of coolant accident.","['problem identification and resolution', 'work processes']","['problem identification and resolution', 'work processes']"
Davis-Besse,"The unprotected EDG Exhaust Piping and unprotected MSSVs have been in this condition since initial operation of the DBNPS. The conditions occurred during original construction. The apparent cause for these conditions is that the original Architect/Engineer design for the associated tornado missile barriers was inadequate, based on the DBNPS USAR description of tornado missile protection.","['problem identification and resolution', 'questioning attitude', 'work processes']","['personal accountability', 'work processes']"
Diablo Canyon,"DCPP determined that a human error was the most probable cause. A failure to maintain adequate configuration control of the US fuses in the 52HF7 cubicle during Unit 1 Refueling Outage 17 maintenance activities most likely allowed the fuses to be reinstalled in the incorrect position. DCPP additionally determined that return to service testing following maintenance activities was inadequate, in that it did not verify remote shutdown functionality.","['personal accountability', 'problem identification and resolution', 'work processes']","['personal accountability', 'problem identification and resolution', 'work processes']"
Diablo Canyon,An apparent cause evaluation concluded that PG&E did not have a design process requirement in place to evaluate GDC-2 design criteria relative to SSC functional requirements other than for structural integrity issues.,"['problem identification and resolution', 'work processes']",['work processes']
Diablo Canyon,Knowledge Gap — Operators did not have adequate knowledge of the established standards contained in OP 0-36 to prevent inadvertent operational events.,"['continuous learning', 'problem identification and resolution', 'questioning attitude']","['continuous learning', 'personal accountability', 'questioning attitude']"
Diablo Canyon,PG&E has determined that the failure to include missile impactive loading in the 1995 redesign and modification of the EDGVS plenum was due to a misunderstanding of the DCPP tornado missile protection licensing basis. DCPP incorrectly extended the NRC approval of limited tornado protection exceptions to the EDGVS redesign and modification.,"['leadership safety values and actions', 'problem identification and resolution', 'work processes']","['continuous learning', 'questioning attitude']"
Diablo Canyon,PG&E completed a root cause evaluation and determined that inadequate organizational oversight and alignment resulted in ineffective and untimely execution of planned corrective actions intended to prevent excessive buildup of environmental contaminants on the 230 kV insulators.,"['leadership safety values and actions', 'problem identification and resolution', 'work processes']","['leadership safety values and actions', 'problem identification and resolution', 'work processes']"
Diablo Canyon,Pacific Gas and Electric Company determined that the root cause of the cracked socket weld was containment fan cooler unit (CFCU) vibration inducing a resonant condition in the RHR piping that generated stresses above the material endurance limit of the socket weld.,"['problem identification and resolution', 'work processes']",['problem identification and resolution']
Diablo Canyon,"PG&E completed an ACE and determined that the cause of the failures was insufficient guidance in the work package instructions which led to an incorrect insulation configuration on the wiring associated with the RTDs. The insulation configuration as installed trapped heat inside the thermal extension piping that housed the wiring associated with the RTDs. The wires overheated inside the thermal extension piping, which caused the failures. As part of the extent of condition evaluation for the failed RTDs, it was determined that the RTDs had either failed or were operating outside the EQ temperature range.","['continuous learning', 'questioning attitude']","['continuous learning', 'questioning attitude']"
Diablo Canyon,"Degraded Wire Wire was abnormally degraded in service. TS 3.0.3 Entry
Operations personnel manually placed SUT LTC in the tap-4 position.","['problem identification and resolution', 'questioning attitude', 'work processes']","['personal accountability', 'problem identification and resolution', 'work processes']"
